"scientificname","longitude","latitude","datecollected","timeofday","stock","life_stage","length"
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.154
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.15
"Salvelinus malma",-127.35088,50.67511,"2004-06-05T05:00:00",5,"Keogh River","JUVENILE",0.162
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.187
"Oncorhynchus tshawytscha",-120.85036111,50.14597222,"2004-04-21T17:00:00",17,"Nicola River","",0.135
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.148
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.149
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.154
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.155
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.144
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.138
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.145
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.155
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.156
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.153
"Oncorhynchus tshawytscha",-120.21385,45.7236,"2010-05-06T02:51:00",2.85,"Unknown","JUVENILE",0.157
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.158
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.15
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.147
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.146
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.169
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.141
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.149
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.158
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.151
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.156
"Oncorhynchus nerka",-121.96733,49.08505,"2004-05-04T03:30:00",3.5,"Cultus Lake","",0.168
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.15
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.153
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.152
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.15
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.151
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.158
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.154
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.178
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.149
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.152
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.159
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.155
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.154
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.155
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.186
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.151
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.159
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.153
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.156
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.147
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.157
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.146
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.148
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.144
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.167
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.147
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.145
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.141
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.144
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.148
"Oncorhynchus kisutch",-126.64694,50.23139,"2004-06-14T22:30:00",22.5,"Nimpkish River","",0.138
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.145
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.157
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.146
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.161
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.173
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.154
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.134
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.141
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.137
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.143
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.137
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.14
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.139
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.14
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.132
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.179
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.146
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.135
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.136
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.143
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.136
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.162
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.142
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.137
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.142
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.133
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.135
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.138
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.13
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.132
"Salvelinus malma",-127.35088,50.67511,"2004-06-05T05:00:00",5,"Keogh River","ADULT",0.24
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.204
"Oncorhynchus tshawytscha",-120.21446,45.7253,"2010-05-08T02:37:00",2.61666667,"Unknown","JUVENILE",0.203
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.134
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.133
"Oncorhynchus tshawytscha",-120.21539,45.72882,"2010-05-08T15:48:00",15.8,"Unknown","JUVENILE",0.157
"Oncorhynchus tshawytscha",-120.21611,45.73072,"2010-05-08T15:51:00",15.85,"Unknown","JUVENILE",0.149
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.131
"Oncorhynchus tshawytscha",-120.21611,45.73072,"2010-05-08T15:51:00",15.85,"Unknown","JUVENILE",0.138
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.141
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.139
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.142
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.138
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.137
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.134
"Oncorhynchus tshawytscha",-120.21423,45.72523,"2010-05-08T15:44:00",15.73333333,"Unknown","JUVENILE",0.167
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.131
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.144
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.151
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.15
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.132
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.149
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.134
"Oncorhynchus tshawytscha",-120.21397,45.72388,"2010-05-08T15:40:00",15.66666667,"Unknown","JUVENILE",0.163
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.131
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.145
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.145
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.143
"Oncorhynchus tshawytscha",-120.21611,45.73072,"2010-05-08T15:51:00",15.85,"Unknown","JUVENILE",NA
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.133
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.148
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.146
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.132
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.149
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.133
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.146
"Oncorhynchus tshawytscha",-120.21397,45.72388,"2010-05-08T15:40:00",15.66666667,"Unknown","JUVENILE",0.161
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.137
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.139
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.136
"Oncorhynchus kisutch",-126.64694,50.23139,"2004-06-14T22:30:00",22.5,"Nimpkish River","",0.143
"Oncorhynchus tshawytscha",-120.21539,45.72882,"2010-05-08T15:48:00",15.8,"Unknown","JUVENILE",0.168
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.138
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.15
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.151
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.154
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.136
"Oncorhynchus tshawytscha",-120.85036111,50.14597222,"2004-04-21T17:00:00",17,"Nicola River","",0.12
"Oncorhynchus tshawytscha",-120.21484,45.72718,"2010-05-08T15:46:00",15.76666667,"Unknown","JUVENILE",0.132
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.142
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.143
"Oncorhynchus tshawytscha",-120.21484,45.72718,"2010-05-08T15:46:00",15.76666667,"Unknown","JUVENILE",0.155
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.14
"Oncorhynchus tshawytscha",-120.21611,45.73072,"2010-05-08T15:51:00",15.85,"Unknown","JUVENILE",0.175
"Oncorhynchus tshawytscha",-122.04054722,45.60944722,"2010-05-25T03:40:00",3.66666667,"Unknown","JUVENILE",NA
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.14
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.141
"Oncorhynchus tshawytscha",-120.21397,45.72388,"2010-05-08T15:40:00",15.66666667,"Unknown","JUVENILE",0.132
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",NA
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.144
"Oncorhynchus tshawytscha",-120.85036111,50.14597222,"2004-04-21T17:00:00",17,"Nicola River","",0.121
"Oncorhynchus tshawytscha",-120.21423,45.72523,"2010-05-08T15:44:00",15.73333333,"Unknown","JUVENILE",0.159
"Oncorhynchus tshawytscha",-120.21397,45.72388,"2010-05-08T15:40:00",15.66666667,"Unknown","JUVENILE",0.169
"Oncorhynchus tshawytscha",-120.21484,45.72718,"2010-05-08T15:46:00",15.76666667,"Unknown","JUVENILE",0.193
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.147
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.158
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.156
"Oncorhynchus tshawytscha",-120.21539,45.72882,"2010-05-08T15:48:00",15.8,"Unknown","JUVENILE",0.148
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.148
"Oncorhynchus mykiss",-123.127502,49.41569,"2011-05-18T21:00:00",21,"Capilano","JUVENILE",0.176
"Oncorhynchus tshawytscha",-120.21611,45.73072,"2010-05-08T15:51:00",15.85,"Unknown","JUVENILE",0.139
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.135
"Salvelinus malma",-127.35088,50.67511,"2004-06-05T05:00:00",5,"Keogh River","ADULT",0.214
"Oncorhynchus tshawytscha",-120.21611,45.73072,"2010-05-08T15:51:00",15.85,"Unknown","JUVENILE",0.173
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.152
"Oncorhynchus tshawytscha",-120.85036111,50.14597222,"2004-04-21T17:00:00",17,"Nicola River","",0.14
"Oncorhynchus tshawytscha",-120.21423,45.72523,"2010-05-08T15:44:00",15.73333333,"Unknown","JUVENILE",0.146
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-16T05:00:00",5,"Yakima River","",0.147
"Oncorhynchus tshawytscha",-120.21484,45.72718,"2010-05-08T15:46:00",15.76666667,"Unknown","JUVENILE",0.179
"Oncorhynchus tshawytscha",-119.75816,46.21535,"2008-05-22T05:00:00",5,"Yakima River","",0.157
"Oncorhynchus tshawytscha",-120.21397,45.72388,"2010-05-08T15:40:00",15.66666667,"Unknown","JUVENILE",0.19
"Oncorhynchus tshawytscha",-120.21423,45.72523,"2010-05-08T15:44:00",15.73333333,"Unknown","JUVENILE",0.133
"Oncorhynchus tshawytscha",-120.21539,45.72882,"2010-05-08T15:48:00",15.8,"Unknown","JUVENILE",0.149
"Oncorhynchus tshawytscha",-120.2154,45.72906,"2010-05-10T02:33:00",2.55,"Unknown","JUVENILE",0.196
"Oncorhynchus tshawytscha",-120.2154,45.72906,"2010-05-10T02:33:00",2.55,"Unknown","JUVENILE",0.148
"Oncorhynchus tshawytscha",-120.2139,45.7238,"2010-05-10T02:38:00",2.63333333,"Unknown","JUVENILE",0.166
"Oncorhynchus mykiss",-127.35088,50.67511,"2004-06-05T05:00:00",5,"Keogh River","",0.208
"Oncorhynchus tshawytscha",-120.2139,45.7238,"2010-05-10T02:38:00",2.63333333,"Unknown","JUVENILE",0.148
"Oncorhynchus tshawytscha",-120.21443,45.72567,"2010-05-10T02:36:00",2.6,"Unknown","JUVENILE",0.142
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-04-26T02:30:00",2.5,"Dworshak","",0.139
"Oncorhynchus tshawytscha",-120.2139,45.7238,"2010-05-10T02:38:00",2.63333333,"Unknown","JUVENILE",0.144
"Oncorhynchus tshawytscha",-115.93472,46.12972,"2008-05-02T22:30:00",22.5,"Dworshak","",0.138
"Oncorhynchus tshawytscha",-120.21443,45.72567,"2010-05-10T02:36:00",2.6,"Unknown","JUVENILE",0.164
"Oncorhynchus tshawytscha",-120.2154,45.72906,"2010-05-10T02:33:00",2.55,"Unknown","JUVENILE",0.172
"Oncorhynchus tshawytscha",-120.2154,45.72906,"2010-05-10T02:33:00",2.55,"Unknown","JUVENILE",0.16
"Oncorhynchus tshawytscha",-120.2139,45.7238,"2010-05-10T02:38:00",2.63333333,"Unknown","JUVENILE",0.185
